,sigma,optimizer,seed,r
580,10.0,rmsprop,91,1.0
581,10.0,cobyla,91,1.0
582,10.0,rmsprop,92,1.0
583,10.0,cobyla,92,1.0
584,10.0,rmsprop,93,1.0
585,10.0,cobyla,93,1.0
586,10.0,rmsprop,94,1.0
587,10.0,cobyla,94,1.0
588,10.0,rmsprop,95,1.0
589,10.0,cobyla,95,1.0
590,10.0,rmsprop,96,1.0
591,10.0,cobyla,96,1.0
592,10.0,rmsprop,97,1.0
593,10.0,cobyla,97,1.0
594,10.0,rmsprop,98,1.0
595,10.0,cobyla,98,1.0
596,10.0,rmsprop,99,1.0
597,10.0,cobyla,99,1.0
598,10.0,rmsprop,100,1.0
599,10.0,cobyla,100,1.0
600,100.0,rmsprop,1,0.8247941321199841
601,100.0,cobyla,1,0.9897330165229042
602,100.0,rmsprop,2,0.8316455660916964
603,100.0,cobyla,2,0.8974629390787308
604,100.0,rmsprop,3,0.8941742272671532
605,100.0,cobyla,3,1.0
606,100.0,rmsprop,4,0.7878468985915611
607,100.0,cobyla,4,1.0
608,100.0,rmsprop,5,1.0
609,100.0,cobyla,5,0.9736005344812674
610,100.0,rmsprop,6,0.8817025620525922
611,100.0,cobyla,6,0.8221619514678561
612,100.0,rmsprop,7,0.7073059347794065
613,100.0,cobyla,7,1.0
614,100.0,rmsprop,8,1.0
615,100.0,cobyla,8,1.0
616,100.0,rmsprop,9,0.9815413979118814
617,100.0,cobyla,9,0.855470347544232
618,100.0,rmsprop,10,1.0
619,100.0,cobyla,10,1.0
620,100.0,rmsprop,11,0.6752688337434863
621,100.0,cobyla,11,1.0
622,100.0,rmsprop,12,0.8019844995101786
623,100.0,cobyla,12,1.0
624,100.0,rmsprop,13,1.0
625,100.0,cobyla,13,1.0
626,100.0,rmsprop,14,1.0
627,100.0,cobyla,14,1.0
628,100.0,rmsprop,15,1.0
629,100.0,cobyla,15,0.9153579662646762
630,100.0,rmsprop,16,0.897724507994377
631,100.0,cobyla,16,1.0
632,100.0,rmsprop,17,0.12085357507546694
633,100.0,cobyla,17,0.8142651924443274
634,100.0,rmsprop,18,0.6507705169764896
635,100.0,cobyla,18,0.8016726297857963
636,100.0,rmsprop,19,1.0
637,100.0,cobyla,19,1.0
638,100.0,rmsprop,20,0.5373568801624203
639,100.0,cobyla,20,0.8752353608791066
640,100.0,rmsprop,21,0.6407940383358653
641,100.0,cobyla,21,1.0
642,100.0,rmsprop,22,0.9457201403221552
643,100.0,cobyla,22,1.0
644,100.0,rmsprop,23,0.8662853411634668
645,100.0,cobyla,23,1.0
646,100.0,rmsprop,24,0.7488270371611953
647,100.0,cobyla,24,1.0
648,100.0,rmsprop,25,0.7051173929869773
649,100.0,cobyla,25,1.0
650,100.0,rmsprop,26,0.5039944627903006
651,100.0,cobyla,26,1.0
652,100.0,rmsprop,27,0.24951453019536912
653,100.0,cobyla,27,0.8980012085468192
654,100.0,rmsprop,28,0.8128459245514893
655,100.0,cobyla,28,1.0
656,100.0,rmsprop,29,0.8698851272689292
657,100.0,cobyla,29,0.787520333931428
658,100.0,rmsprop,30,0.27167475874340075
659,100.0,cobyla,30,1.0
660,100.0,rmsprop,31,1.0
661,100.0,cobyla,31,0.8977797654712056
662,100.0,rmsprop,32,1.0
663,100.0,cobyla,32,1.0
664,100.0,rmsprop,33,1.0
665,100.0,cobyla,33,0.8749314727691686
666,100.0,rmsprop,34,1.0
667,100.0,cobyla,34,0.7770326136501922
668,100.0,rmsprop,35,0.9311500819547378
669,100.0,cobyla,35,1.0
670,100.0,rmsprop,36,1.0
671,100.0,cobyla,36,1.0
672,100.0,rmsprop,37,0.9405084866623131
